,Country code,Country,Reference sector,Employment type,Education level,Year,Value
1185,CZE,Czech Republic,Public educational institutions,Full-time,Doctoral or equivalent level,2015,24484.0
1186,CZE,Czech Republic,Public educational institutions,Full-time,Doctoral or equivalent level,2016,24068.0
1187,CZE,Czech Republic,Public educational institutions,Full-time,Doctoral or equivalent level,2017,23452.0
1188,CZE,Czech Republic,Public educational institutions,Full-time,Doctoral or equivalent level,2018,22376.0
1189,CZE,Czech Republic,Public educational institutions,Full-time,Doctoral or equivalent level,2019,21569.0
1197,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2013,101.0
1198,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2014,104.0
1199,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2015,98.0
1200,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2016,86.0
1201,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2017,86.0
1202,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2018,81.0
1203,CZE,Czech Republic,Independent private educational institutions,Full-time,Doctoral or equivalent level,2019,68.0
1204,CZE,Czech Republic,Public educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
1206,CZE,Czech Republic,Public educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
1207,CZE,Czech Republic,Public educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
1218,CZE,Czech Republic,Independent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
1220,CZE,Czech Republic,Independent private educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
1221,CZE,Czech Republic,Independent private educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
1246,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2013,21469.0
1247,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2014,22207.0
1248,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2015,24064.0
1249,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2016,25728.0
1250,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2017,25809.0
1251,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2018,25422.0
1252,DNK,Denmark,Public educational institutions,Full-time,Short-cycle tertiary education,2019,24750.0
1253,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2013,801.0
1254,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2014,1327.0
1255,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2015,1368.0
1256,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2016,1108.0
1257,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2017,666.0
1258,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2018,699.0
1259,DNK,Denmark,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2019,673.0
1260,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2013,147.0
1261,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2014,138.0
1262,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2015,131.0
1263,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2016,123.0
1264,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2017,137.0
1265,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2018,132.0
1266,DNK,Denmark,Independent private educational institutions,Full-time,Short-cycle tertiary education,2019,122.0
1267,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2013,9116.0
1268,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2014,9626.0
1269,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2015,9149.0
1270,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2016,7554.0
1271,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2017,8991.0
1272,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2018,9319.0
1273,DNK,Denmark,Public educational institutions,Part-time,Short-cycle tertiary education,2019,9677.0
1274,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2013,159.0
1275,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2014,162.0
1276,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2015,261.0
1277,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2016,157.0
1278,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2017,0.0
1279,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2018,0.0
1280,DNK,Denmark,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
1281,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2013,0.0
1282,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2014,0.0
1283,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2015,0.0
1284,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2016,0.0
1285,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2017,0.0
1286,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2018,0.0
1287,DNK,Denmark,Independent private educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
1309,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,158821.0
1310,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,165917.0
1311,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,169263.0
1312,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,170146.0
1313,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,170363.0
1314,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,170714.0
1315,DNK,Denmark,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,172734.0
1316,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,2831.0
1317,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,3475.0
1318,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,3518.0
1319,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,3171.0
1320,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,2274.0
1321,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,2233.0
1322,DNK,Denmark,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,349.0
1323,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,35.0
1324,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,31.0
1325,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,24.0
1326,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,24.0
1327,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,24.0
1328,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,24.0
1329,DNK,Denmark,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,23.0
1330,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,18487.0
1331,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,16723.0
1332,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,20388.0
1333,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,20595.0
1334,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,23279.0
1335,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,22873.0
1336,DNK,Denmark,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,21557.0
1337,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,2107.0
1338,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,1756.0
1339,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,1861.0
1340,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,1764.0
1341,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,29.0
1342,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,2.0
1343,DNK,Denmark,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,0.0
1344,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,0.0
1345,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,0.0
1346,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,0.0
1347,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,0.0
1348,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,0.0
1349,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,0.0
1350,DNK,Denmark,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,0.0
1372,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2013,63158.0
1373,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2014,66529.0
1374,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2015,69260.0
1375,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2016,69951.0
1376,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2017,66241.0
1377,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2018,64442.0
1378,DNK,Denmark,Public educational institutions,Full-time,Master’s or equivalent level,2019,64440.0
1379,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2013,0.0
1380,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2014,0.0
1381,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2015,0.0
1382,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2016,0.0
1383,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2017,0.0
1384,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2018,0.0
1385,DNK,Denmark,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2019,0.0
1386,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2013,4388.0
1387,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2014,3639.0
1388,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2015,4530.0
1389,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2016,4656.0
1390,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2017,4910.0
1391,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2018,5606.0
1392,DNK,Denmark,Public educational institutions,Part-time,Master’s or equivalent level,2019,4929.0
1393,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2013,0.0
1394,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2014,0.0
1395,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2015,0.0
1396,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2016,0.0
1397,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2017,0.0
1398,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2018,0.0
1399,DNK,Denmark,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2019,0.0
1400,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2013,0.0
1401,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2014,0.0
1402,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2015,0.0
1403,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2016,0.0
1404,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2017,0.0
1405,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2018,0.0
1406,DNK,Denmark,Independent private educational institutions,Part-time,Master’s or equivalent level,2019,0.0
1428,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2013,9628.0
1429,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2014,9869.0
1430,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2015,9939.0
1431,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2016,9845.0
1432,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2017,9656.0
1433,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2018,9437.0
1434,DNK,Denmark,Public educational institutions,Full-time,Doctoral or equivalent level,2019,9313.0
1435,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
1436,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
1437,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
1438,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
1439,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
1440,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
1441,DNK,Denmark,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
1442,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
1443,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
1444,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
1445,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
1446,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
1447,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
1448,DNK,Denmark,Independent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
1449,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
1450,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
1451,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
1452,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
1453,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
1454,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
1455,DNK,Denmark,Public educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
1456,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
1457,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
1458,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
1459,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
1460,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
1461,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
1462,DNK,Denmark,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
1463,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
1464,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
1465,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
1466,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
1467,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
1468,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
1469,DNK,Denmark,Independent private educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
1491,FIN,Finland,Public educational institutions,Full-time,Short-cycle tertiary education,2013,92.0
1492,FIN,Finland,Public educational institutions,Full-time,Short-cycle tertiary education,2014,21.0
1498,FIN,Finland,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2013,0.0
1499,FIN,Finland,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2014,0.0
1554,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,91163.0
1555,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,88063.0
1556,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,66427.0
1557,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,53341.0
1558,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,52587.0
1559,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,51622.0
1560,FIN,Finland,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,51059.0
1561,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,57895.0
1562,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,60808.0
1563,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,83703.0
1564,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,99833.0
1565,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,102461.0
1566,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,102043.0
1567,FIN,Finland,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,101080.0
1568,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,56224.0
1569,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,51989.0
1570,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,41143.0
1571,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,33286.0
1572,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,29806.0
1573,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,27962.0
1574,FIN,Finland,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,27409.0
1575,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,22991.0
1576,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,22659.0
1577,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,28097.0
1578,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,28736.0
1579,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,26202.0
1580,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,25686.0
1581,FIN,Finland,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,25953.0
1610,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2013,24506.0
1611,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2014,25145.0
1612,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2015,25902.0
1613,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2016,29025.0
1614,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2017,31504.0
1615,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2018,32873.0
1616,FIN,Finland,Public educational institutions,Full-time,Master’s or equivalent level,2019,34506.0
1617,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2013,0.0
1618,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2014,0.0
1619,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2015,0.0
1620,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2016,0.0
1621,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2017,0.0
1622,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2018,0.0
1623,FIN,Finland,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2019,0.0
1631,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2013,30542.0
1632,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2014,31334.0
1633,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2015,29364.0
1634,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2016,23253.0
1635,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2017,23097.0
1636,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2018,23511.0
1637,FIN,Finland,Public educational institutions,Part-time,Master’s or equivalent level,2019,23727.0
1638,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2013,5003.0
1639,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2014,5778.0
1640,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2015,7973.0
1641,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2016,10162.0
1642,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2017,11001.0
1643,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2018,12198.0
1644,FIN,Finland,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2019,13410.0
1673,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
1674,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
1675,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
1676,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
1677,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
1678,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
1679,FIN,Finland,Public educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
1680,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
1681,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
1682,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
1683,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
1684,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
1685,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
1686,FIN,Finland,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
1694,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2013,20593.0
1695,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2014,20283.0
1696,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2015,19869.0
1697,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2016,19527.0
1698,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2017,18870.0
1699,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2018,18621.0
1700,FIN,Finland,Public educational institutions,Part-time,Doctoral or equivalent level,2019,18307.0
1701,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
1702,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
1703,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
1704,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
1705,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
1706,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
1707,FIN,Finland,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
1736,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2013,336133.0
1737,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2014,337961.0
1738,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2015,335517.0
1739,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2016,335459.0
1740,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2017,337849.0
1741,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2018,328876.0
1742,FRA,France,Public educational institutions,Full-time,Short-cycle tertiary education,2019,353897.0
1743,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2013,61738.0
1744,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2014,61979.0
1745,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2015,62059.0
1746,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2016,63267.0
1747,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2017,63991.0
1748,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2018,53386.0
1749,FRA,France,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2019,55799.0
1750,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2013,107025.0
1751,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2014,103771.0
1752,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2015,97896.0
1753,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2016,97988.0
1754,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2017,99490.0
1755,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2018,122795.0
1756,FRA,France,Independent private educational institutions,Full-time,Short-cycle tertiary education,2019,129736.0
1757,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2013,0.0
1758,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2014,0.0
1759,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2015,0.0
1760,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2016,0.0
1761,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2017,0.0
1762,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2018,0.0
1763,FRA,France,Public educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
1764,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2013,0.0
1765,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2014,0.0
1766,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2015,0.0
1767,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2016,0.0
1768,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2017,0.0
1769,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2018,0.0
1770,FRA,France,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
