,COUNTRY,Country,Gender,Field,International mobility,Education level,Year,Value
5784,AUT,Austria,Male,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,116.95
5785,FIN,Finland,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Master’s or equivalent level,2019,82.0
5786,ESP,Spain,Female,"Agriculture, forestry, fisheries and veterinary",Total,Bachelor’s or equivalent level,2019,3255.0
5787,MEX,Mexico,Female,Education,Total,Doctoral or equivalent level,2019,7791.0
5793,FIN,Finland,Male,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,287.0
5794,GRC,Greece,Male,Arts and humanities,Total,Master’s or equivalent level,2019,3099.0
5795,ESP,Spain,Male,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,108685.0
5796,ISL,Iceland,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,54.0
5797,NZL,New Zealand,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,248.198
5800,NZL,New Zealand,Female,"Agriculture, forestry, fisheries and veterinary",Total,Master’s or equivalent level,2019,200.145
5801,GRC,Greece,Female,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,403.0
5802,BEL,Belgium,Female,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,39472.0
5803,NZL,New Zealand,Female,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,1056.549
5804,ITA,Italy,Female,"Engineering, manufacturing and construction",Total,Doctoral or equivalent level,2019,2318.0
5805,HUN,Hungary,Female,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,2662.0
5806,LTU,Lithuania,Male,Information and Communication Technologies (ICTs),Homecoming nationals,Master’s or equivalent level,2019,5.0
5807,HUN,Hungary,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,331.0
5808,AUS,Australia,Male,Arts and humanities,Total,Short-cycle tertiary education,2019,14563.0
5810,LVA,Latvia,Female,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,163.0
5811,CHE,Switzerland,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,583.0
5813,DNK,Denmark,Female,Services,Homecoming nationals,Doctoral or equivalent level,2019,0.0
5815,AUS,Australia,Female,Arts and humanities,Total,Doctoral or equivalent level,2019,3512.0
5816,ESP,Spain,Female,Services,Total,Master’s or equivalent level,2019,6126.0
5817,CHL,Chile,Male,Education,Total,Master’s or equivalent level,2019,3947.5
5818,ESP,Spain,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,460.0
5819,AUT,Austria,Female,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,119.833
5820,LVA,Latvia,Male,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,1.0
5821,NOR,Norway,Male,Education,Total,Short-cycle tertiary education,2019,0.0
5823,EST,Estonia,Female,Services,Total,Doctoral or equivalent level,2019,13.5
5824,CHL,Chile,Male,Services,Total,Master’s or equivalent level,2019,844.25
5825,NOR,Norway,Male,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,10.0
5826,LTU,Lithuania,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,35.0
5828,NZL,New Zealand,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1153.812
5829,LUX,Luxembourg,Female,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,46.0
5830,POL,Poland,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
5831,ISR,Israel,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,9549.0
5832,AUT,Austria,Male,Services,Mobile including homecoming nationals,Master’s or equivalent level,2019,155.833
5835,PRT,Portugal,Female,Services,Total,Master’s or equivalent level,2019,1577.0
5837,CZE,Czech Republic,Male,Arts and humanities,Total,Doctoral or equivalent level,2019,1427.0
5838,PRT,Portugal,Female,"Natural sciences, mathematics and statistics",Total,Short-cycle tertiary education,2019,161.0
5841,LVA,Latvia,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,7.0
5842,ISR,Israel,Male,Education,Total,Doctoral or equivalent level,2019,141.0
5843,RUS,Russia,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,122550.0
5844,MEX,Mexico,Female,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,265295.0
5845,GRC,Greece,Male,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,6388.0
5846,ESP,Spain,Female,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,12156.0
5847,CAN,Canada,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Doctoral or equivalent level,2019,840.0
5848,AUT,Austria,Male,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,17876.76
5849,ISR,Israel,Male,"Natural sciences, mathematics and statistics",Total,Bachelor’s or equivalent level,2019,9111.5
5850,ISL,Iceland,Female,"Business, administration and law",Homecoming nationals,Bachelor’s or equivalent level,2019,10.0
5851,LTU,Lithuania,Female,"Agriculture, forestry, fisheries and veterinary",Total,Master’s or equivalent level,2019,906.0
5852,CAN,Canada,Male,"Business, administration and law",Total,Short-cycle tertiary education,2019,45735.0
5854,NZL,New Zealand,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,146.983
5855,CHL,Chile,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,12.0
5856,SWE,Sweden,Male,"Engineering, manufacturing and construction",Total,Master’s or equivalent level,2019,26834.887
5857,BRA,Brazil,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1272.0
5858,CZE,Czech Republic,Female,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,40.0
5859,HUN,Hungary,Female,Education,Total,Short-cycle tertiary education,2019,24.0
5860,ISL,Iceland,Male,Health and welfare,Total,Bachelor’s or equivalent level,2019,240.0
5861,LVA,Latvia,Male,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,1772.0
5862,DNK,Denmark,Male,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,5839.0
5863,HUN,Hungary,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
5864,JPN,Japan,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,330.0
5866,BEL,Belgium,Female,Health and welfare,Homecoming nationals,Bachelor’s or equivalent level,2019,145.0
5868,NLD,Netherlands,Male,"Engineering, manufacturing and construction",Homecoming nationals,Short-cycle tertiary education,2019,0.0
5871,COL,Colombia,Female,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,6745.0
5872,GBR,United Kingdom,Female,"Engineering, manufacturing and construction",Homecoming nationals,Master’s or equivalent level,2019,82.37
5873,NOR,Norway,Female,Health and welfare,Homecoming nationals,Doctoral or equivalent level,2019,4.0
5874,PRT,Portugal,Male,Arts and humanities,Total,Master’s or equivalent level,2019,2717.0
5875,IRL,Ireland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,640.0
5876,CAN,Canada,Female,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,25686.0
5879,ISL,Iceland,Female,Education,Homecoming nationals,Bachelor’s or equivalent level,2019,14.0
5880,ISL,Iceland,Male,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,101.0
5881,LUX,Luxembourg,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,32.0
5882,SVN,Slovenia,Male,Services,Total,Doctoral or equivalent level,2019,28.0
5883,IRL,Ireland,Female,Education,Total,Master’s or equivalent level,2019,3523.0
5884,COL,Colombia,Male,Services,Total,Bachelor’s or equivalent level,2019,7668.0
5885,LTU,Lithuania,Female,"Engineering, manufacturing and construction",Homecoming nationals,Bachelor’s or equivalent level,2019,8.0
5887,SVN,Slovenia,Female,"Social sciences, journalism and information",Homecoming nationals,Doctoral or equivalent level,2019,2.0
5888,ESP,Spain,Male,Arts and humanities,Total,Master’s or equivalent level,2019,6458.0
5889,SVK,Slovak Republic,Male,Health and welfare,Homecoming nationals,Short-cycle tertiary education,2019,0.0
5890,COL,Colombia,Male,"Business, administration and law",Total,Master’s or equivalent level,2019,32057.0
5896,ESP,Spain,Male,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,43535.0
5897,SVK,Slovak Republic,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,144.0
5899,GBR,United Kingdom,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Short-cycle tertiary education,2019,12.87
5900,DEU,Germany,Male,"Business, administration and law",Homecoming nationals,Short-cycle tertiary education,2019,0.0
5901,GBR,United Kingdom,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Doctoral or equivalent level,2019,7.0
5903,AUT,Austria,Male,Education,Total,Bachelor’s or equivalent level,2019,8882.422
5904,DNK,Denmark,Male,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,149.0
5905,PRT,Portugal,Male,"Engineering, manufacturing and construction",Homecoming nationals,Master’s or equivalent level,2019,282.0
5906,KOR,Korea,Female,Health and welfare,Total,Doctoral or equivalent level,2019,6163.0
5907,LVA,Latvia,Male,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,420.0
5909,CHL,Chile,Male,"Business, administration and law",Mobile including homecoming nationals,Master’s or equivalent level,2019,357.0
5910,COL,Colombia,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,4.0
5912,TUR,Turkey,Male,Health and welfare,Total,Doctoral or equivalent level,2019,19369.0
5913,NZL,New Zealand,Male,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,812.389
5914,HUN,Hungary,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,16.0
5916,LVA,Latvia,Female,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,6.0
5917,FRA,France,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,4540.0
5918,ISL,Iceland,Female,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,4.0
5919,AUT,Austria,Male,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,104.833
5920,ITA,Italy,Male,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,978.0
5921,LUX,Luxembourg,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
5925,ESP,Spain,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,903.0
5926,GBR,United Kingdom,Female,Arts and humanities,Total,Doctoral or equivalent level,2019,8976.54
5927,DNK,Denmark,Female,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,4.0
5928,CZE,Czech Republic,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,405.0
5929,SVK,Slovak Republic,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
5930,ISR,Israel,Female,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,341.0
5931,ISR,Israel,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,22.0
5932,IRL,Ireland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,353.0
5933,TUR,Turkey,Female,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,17.0
5934,FRA,France,Male,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,52.0
5936,FRA,France,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,2926.0
5937,HUN,Hungary,Male,"Agriculture, forestry, fisheries and veterinary",Total,Master’s or equivalent level,2019,1618.0
5939,LUX,Luxembourg,Male,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,9.0
5940,ISR,Israel,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,195.5
5941,JPN,Japan,Male,Education,Total,Bachelor’s or equivalent level,2019,85967.0
5942,MEX,Mexico,Female,Arts and humanities,Total,Master’s or equivalent level,2019,3582.0
5943,POL,Poland,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,16.0
5944,AUT,Austria,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,339.894
5945,NZL,New Zealand,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Short-cycle tertiary education,2019,58.863
5946,DEU,Germany,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Bachelor’s or equivalent level,2019,116.0
5947,CHE,Switzerland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,2196.0
5948,BEL,Belgium,Female,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Short-cycle tertiary education,2019,0.0
5950,NLD,Netherlands,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,1754.0
5952,SVN,Slovenia,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Master’s or equivalent level,2019,0.0
5953,DNK,Denmark,Female,Arts and humanities,Homecoming nationals,Bachelor’s or equivalent level,2019,80.0
5956,FIN,Finland,Female,Health and welfare,Total,Master’s or equivalent level,2019,8597.0
5957,NZL,New Zealand,Male,Services,Mobile including homecoming nationals,Master’s or equivalent level,2019,29.286
5960,LUX,Luxembourg,Female,Education,Total,Doctoral or equivalent level,2019,32.0
5963,NOR,Norway,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Doctoral or equivalent level,2019,0.0
5965,EST,Estonia,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,2286.5
5967,HUN,Hungary,Female,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,3745.0
5968,LVA,Latvia,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,17.0
5969,SVK,Slovak Republic,Male,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,101.0
5970,ISL,Iceland,Male,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,88.0
5971,LUX,Luxembourg,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,109.667
5973,AUT,Austria,Male,Education,Total,Doctoral or equivalent level,2019,117.329
5974,IRL,Ireland,Male,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,2280.0
5976,ISL,Iceland,Male,Arts and humanities,Homecoming nationals,Master’s or equivalent level,2019,3.0
5977,CZE,Czech Republic,Female,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,6962.0
5978,PRT,Portugal,Male,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,23519.0
5981,LTU,Lithuania,Female,Arts and humanities,Total,Bachelor’s or equivalent level,2019,5996.0
5982,NOR,Norway,Male,Health and welfare,Homecoming nationals,Short-cycle tertiary education,2019,0.0
5985,POL,Poland,Male,Services,Total,Master’s or equivalent level,2019,9588.0
5986,ESP,Spain,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,1581.0
5987,AUT,Austria,Male,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,1997.617
5988,NOR,Norway,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Bachelor’s or equivalent level,2019,4.0
5990,KOR,Korea,Female,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,1516.0
5991,PRT,Portugal,Female,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,578.0
5992,LUX,Luxembourg,Female,Health and welfare,Homecoming nationals,Bachelor’s or equivalent level,2019,0.0
5993,ESP,Spain,Female,Education,Homecoming nationals,Doctoral or equivalent level,2019,16.0
5994,ISL,Iceland,Female,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,20.0
5995,SVN,Slovenia,Male,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,13.0
5996,LUX,Luxembourg,Male,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,0.0
5997,POL,Poland,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,81.0
5998,PRT,Portugal,Female,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1371.0
6000,DEU,Germany,Female,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,58398.0
6001,GRC,Greece,Male,Health and welfare,Mobile including homecoming nationals,Doctoral or equivalent level,2019,193.0
6002,BRA,Brazil,Male,"Natural sciences, mathematics and statistics",Total,Bachelor’s or equivalent level,2019,63584.0
6003,RUS,Russia,Female,Health and welfare,Total,Short-cycle tertiary education,2019,274392.0
6004,PRT,Portugal,Female,"Engineering, manufacturing and construction",Homecoming nationals,Doctoral or equivalent level,2019,15.0
6005,FIN,Finland,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,780.0
6007,IRL,Ireland,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,411.0
6008,NZL,New Zealand,Male,Health and welfare,Mobile including homecoming nationals,Doctoral or equivalent level,2019,183.411
6011,BEL,Belgium,Female,Arts and humanities,Total,Bachelor’s or equivalent level,2019,19065.0
6012,ITA,Italy,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,496.0
6013,CZE,Czech Republic,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,2052.0
6014,LVA,Latvia,Female,"Natural sciences, mathematics and statistics",Total,Bachelor’s or equivalent level,2019,736.0
6015,CHE,Switzerland,Female,Arts and humanities,Total,Short-cycle tertiary education,2019,148.0
6017,POL,Poland,Male,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,166.0
6018,ISR,Israel,Male,Services,Homecoming nationals,Master’s or equivalent level,2019,0.0
6019,NLD,Netherlands,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Bachelor’s or equivalent level,2019,286.0
6020,IRL,Ireland,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,159.0
6024,FIN,Finland,Male,Information and Communication Technologies (ICTs),Total,Doctoral or equivalent level,2019,1071.0
6025,TUR,Turkey,Female,"Business, administration and law",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,5520.0
6026,BEL,Belgium,Female,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
6027,MEX,Mexico,Male,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,4378.0
6028,ISL,Iceland,Male,Health and welfare,Homecoming nationals,Short-cycle tertiary education,2019,0.0
6029,NOR,Norway,Female,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,107.0
6030,ITA,Italy,Female,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,222.0
6031,LVA,Latvia,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
6032,BEL,Belgium,Male,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,20.0
6033,ITA,Italy,Female,Arts and humanities,Total,Master’s or equivalent level,2019,52927.0
6034,NLD,Netherlands,Male,"Business, administration and law",Total,Short-cycle tertiary education,2019,2965.0
6035,CHE,Switzerland,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
6036,COL,Colombia,Male,Arts and humanities,Total,Doctoral or equivalent level,2019,438.0
6037,SVK,Slovak Republic,Male,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,782.0
6038,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,903.167
6040,EST,Estonia,Female,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,42.0
6041,LUX,Luxembourg,Female,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
6042,ITA,Italy,Male,Services,Total,Short-cycle tertiary education,2019,1261.0
6043,GBR,United Kingdom,Male,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,4399.85
6045,CZE,Czech Republic,Female,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,0.0
6046,LTU,Lithuania,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Bachelor’s or equivalent level,2019,1.0
6047,CHE,Switzerland,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Short-cycle tertiary education,2019,0.0
6048,CZE,Czech Republic,Male,Information and Communication Technologies (ICTs),Total,Doctoral or equivalent level,2019,591.0
6049,FIN,Finland,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,361.0
6050,RUS,Russia,Male,"Business, administration and law",Total,Master’s or equivalent level,2019,88542.0
6051,SVK,Slovak Republic,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Bachelor’s or equivalent level,2019,0.0
6052,NZL,New Zealand,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,552.418
6053,LTU,Lithuania,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,11.0
6054,BEL,Belgium,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Master’s or equivalent level,2019,881.0
6056,ISR,Israel,Male,Arts and humanities,Total,Bachelor’s or equivalent level,2019,8056.0
6057,ISR,Israel,Female,Education,Total,Master’s or equivalent level,2019,10307.0
6058,BRA,Brazil,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,0.0
6059,LVA,Latvia,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,2717.0
6061,ESP,Spain,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,569.0
6062,SWE,Sweden,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,350.149
6063,TUR,Turkey,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,343.0
6067,SVN,Slovenia,Female,"Social sciences, journalism and information",Homecoming nationals,Short-cycle tertiary education,2019,0.0
6068,SVN,Slovenia,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Short-cycle tertiary education,2019,0.0
6069,SVK,Slovak Republic,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Master’s or equivalent level,2019,0.0
6070,GBR,United Kingdom,Female,"Engineering, manufacturing and construction",Homecoming nationals,Short-cycle tertiary education,2019,7.0
6071,BRA,Brazil,Female,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
6076,LVA,Latvia,Female,Services,Total,Bachelor’s or equivalent level,2019,1861.0
6077,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Short-cycle tertiary education,2019,1.0
6078,LTU,Lithuania,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Master’s or equivalent level,2019,7.0
6079,COL,Colombia,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,37.0
6080,EST,Estonia,Male,"Business, administration and law",Total,Doctoral or equivalent level,2019,73.0
6082,BRA,Brazil,Female,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,508.0
6083,SVK,Slovak Republic,Female,Health and welfare,Homecoming nationals,Doctoral or equivalent level,2019,0.0
6084,COL,Colombia,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,0.0
6085,CHE,Switzerland,Female,"Engineering, manufacturing and construction",Homecoming nationals,Short-cycle tertiary education,2019,0.0
6087,SVK,Slovak Republic,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,53.0
6088,BRA,Brazil,Female,"Social sciences, journalism and information",Total,Bachelor’s or equivalent level,2019,306522.0
6089,NLD,Netherlands,Female,"Engineering, manufacturing and construction",Homecoming nationals,Bachelor’s or equivalent level,2019,269.0
6090,BRA,Brazil,Male,Services,Total,Master’s or equivalent level,2019,0.0
6091,FRA,France,Female,Information and Communication Technologies (ICTs),Total,Short-cycle tertiary education,2019,1060.0
6092,POL,Poland,Male,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
6093,DEU,Germany,Male,Services,Total,Doctoral or equivalent level,2019,1200.0
6094,KOR,Korea,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,43.0
6095,AUT,Austria,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,16.0
6097,AUT,Austria,Male,Arts and humanities,Homecoming nationals,Master’s or equivalent level,2019,75.67
6098,TUR,Turkey,Female,Education,Total,Doctoral or equivalent level,2019,3730.0
6100,TUR,Turkey,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,37406.0
6101,DNK,Denmark,Male,Information and Communication Technologies (ICTs),Homecoming nationals,Doctoral or equivalent level,2019,0.0
6102,LUX,Luxembourg,Female,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,24.0
6103,CZE,Czech Republic,Male,Services,Mobile including homecoming nationals,Master’s or equivalent level,2019,195.0
6105,ISR,Israel,Female,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Master’s or equivalent level,2019,3.0
6106,SVK,Slovak Republic,Male,Services,Total,Master’s or equivalent level,2019,1601.0
6107,GRC,Greece,Male,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,89.0
6109,ISL,Iceland,Male,"Social sciences, journalism and information",Homecoming nationals,Short-cycle tertiary education,2019,0.0
6110,SVN,Slovenia,Male,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,66.0
6111,DNK,Denmark,Male,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,4252.0
6113,DNK,Denmark,Male,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,43.0
6115,POL,Poland,Female,Education,Total,Bachelor’s or equivalent level,2019,86239.0
6116,CZE,Czech Republic,Female,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,0.0
6117,FRA,France,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,4477.0
6119,KOR,Korea,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,6268.0
6121,ITA,Italy,Female,"Engineering, manufacturing and construction",Total,Master’s or equivalent level,2019,37396.0
6122,CZE,Czech Republic,Male,Services,Total,Bachelor’s or equivalent level,2019,8770.0
6124,LUX,Luxembourg,Female,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,0.0
6126,SVK,Slovak Republic,Female,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,2.0
6128,BEL,Belgium,Male,"Business, administration and law",Mobile including homecoming nationals,Doctoral or equivalent level,2019,36.0
6130,SVK,Slovak Republic,Male,"Agriculture, forestry, fisheries and veterinary",Total,Bachelor’s or equivalent level,2019,716.0
6132,BRA,Brazil,Male,Health and welfare,Total,Bachelor’s or equivalent level,2019,461426.0
