"COUNTRY","Country","ISC11A","ISC11A","SEX","Gender","AGE","Age","EARN_CATEGORY","EARN_CATEGORY","INDICATOR","Indicator","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",75.72821,,
"GBR","United Kingdom","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",6.213335,,
"MEX","Mexico","L5","Short-cycle tertiary education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"c","Data below the publication limit"
"DNK","Denmark","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",5.331453,,
"LTU","Lithuania","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"SVK","Slovak Republic","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"LUX","Luxembourg","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"COL","Colombia","L6","Bachelor’s or equivalent education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"CHE","Switzerland","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",54.3756,"w","Includes data from another category"
"GBR","United Kingdom","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",49.45333,,
"LUX","Luxembourg","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",66.61186,,
"SVK","Slovak Republic","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"EST","Estonia","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",4.866335,,
"USA","United States","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",73.31802,,
"EST","Estonia","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"AUT","Austria","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",20.32969,,
"NZL","New Zealand","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",55.25857,,
"NOR","Norway","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",80.36124,,
"CAN","Canada","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",8.672655,,
"CRI","Costa Rica","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",99.15385,,
"CHL","Chile","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",6.582622,,
"SVN","Slovenia","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"GBR","United Kingdom","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",34.89209,,
"CRI","Costa Rica","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"ISR","Israel","L5","Short-cycle tertiary education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",22.90053,,
"CZE","Czech Republic","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"POL","Poland","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"DEU","Germany","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",18.15006,,
"HUN","Hungary","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"BEL","Belgium","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",16.91295,"b","Series break"
"CRI","Costa Rica","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",87.54938,,
"G20","G20","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"SWE","Sweden","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",10.9756,,
"NOR","Norway","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",27.55378,,
"ITA","Italy","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"NLD","Netherlands","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"CHE","Switzerland","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"BEL","Belgium","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",29.79666,"b","Series break"
"GBR","United Kingdom","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",79.20604,,
"CHL","Chile","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",26.38899,,
"CAN","Canada","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",51.52324,,
"AUS","Australia","L5","Short-cycle tertiary education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"TUR","Turkey","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"USA","United States","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",69.37035,,
"SVN","Slovenia","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"ITA","Italy","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"ISR","Israel","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",24.43686,,
"SWE","Sweden","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",38.17191,,
"NLD","Netherlands","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"LVA","Latvia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",30.8623,,
"TUR","Turkey","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"SVK","Slovak Republic","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"E22","European Union 22 members in OECD","L5","Short-cycle tertiary education","F","Women","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"LTU","Lithuania","L5","Short-cycle tertiary education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"FIN","Finland","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.14153,,
"IRL","Ireland","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",41.6643,"r","Data below a reliability threshold"
"ITA","Italy","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"MEX","Mexico","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",11.22792,,
"MEX","Mexico","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",17.33644,,
"LTU","Lithuania","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"TUR","Turkey","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"LTU","Lithuania","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"G20","G20","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"MEX","Mexico","L5","Short-cycle tertiary education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"c","Data below the publication limit"
"FIN","Finland","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",35.19178,,
"SVK","Slovak Republic","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"G20","G20","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"EST","Estonia","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",74.01974,,
"CRI","Costa Rica","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",2.752262,,
"ITA","Italy","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"G20","G20","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"FIN","Finland","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",8.018801,,
"ESP","Spain","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",23.43427,,
"OAVG","OECD - Average","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,19.96378,,
"LUX","Luxembourg","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",21.84492,,
"LUX","Luxembourg","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"TUR","Turkey","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"KOR","Korea","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",56.55552,,
"GBR","United Kingdom","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",26.14478,,
"DNK","Denmark","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",38.51852,,
"CRI","Costa Rica","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"CHL","Chile","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",10.58946,,
"SVN","Slovenia","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"ESP","Spain","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",18.30769,,
"LUX","Luxembourg","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"HUN","Hungary","L5","Short-cycle tertiary education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"BEL","Belgium","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"b; c","Series break; Data below the publication limit"
"CAN","Canada","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",13.35331,,
"CHE","Switzerland","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",20.31849,"w","Includes data from another category"
"MEX","Mexico","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"E22","European Union 22 members in OECD","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"ITA","Italy","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"LTU","Lithuania","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"FRA","France","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",68.41237,,
"LUX","Luxembourg","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",80.19596,,
"USA","United States","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",77.19139,,
"TUR","Turkey","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"LVA","Latvia","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",68.03161,,
"SVK","Slovak Republic","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"FIN","Finland","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.29289,,
"MEX","Mexico","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",6.445675,,
"CHL","Chile","L5","Short-cycle tertiary education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",31.47332,,
"CZE","Czech Republic","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
